name,sourceBook,sourcePage,primaryArcanum,primaryArcanumLevel,secondaryArcanum,secondaryArcanumLevel,practice,primaryFactor,withstand,description,reach1,reach2,reach3,reach4,reach5,optArcana,defaultPotency,defaultRange
Shape Ephemera,core,129,death,2,,,ruling,duration,Stamina,"The caster may reshape Death-attuned ephemera from one object into a new object entirely. This ephemera can be from a ghost or other entity in Twilight, but they have the ability to Withstand the spell, and being reshaped does not damage the entity's Corpus. The object gains a Durability of 2. If it is a weapon it gains a weapon rating of 2; if it is armor it gains an armor rating of 2. Objects made of ephemera are only useful against other objects or beings made of ephemera or within Twilight. Objects made this way can be used by any ephemeral entity in Twilight, including ghosts or a mage who has transformed himself into ephemera (See ""Ghost Gate"" p. 130).",,,,,,,1,touch
Soul Armor,core,129,death,2,,,shielding,duration,,"This spell armors the subject's soul against all who would profane it. Any spell or effect that would remove, manipulate, or injure the subject's soul must first win a Clash of Wills.",,,,,,,1,touch
Soul Jar,core,129,death,2,,,ruling,duration,Resolve,"The mage creates a receptacle for a displaced soul. The soul jar can be anything designed to hold and seal a liquid, from a paint can to a water bottle. A soul placed into the soul jar cannot escape and is protected from outside attack. If the jar is opened or broken before the Duration of the spell ends, the soul is released.","The mage may bind the soul to herself or to another person. To bind the soul to a person, the recipient must be suffering from the Soulless, Enervated, or Thrall Condition. Once the soul is in the body, it becomes the person's soul for the Duration of the spell. An unwilling person Withstands the spell's effect.","2: By spending a point of Mana, the effects of this spell are Lasting, and the soul remains bound or attached even when the Duration ends.",,,,,1,touch
Suppress Aura,core,129,death,2,,,veiling,duration,Resolve,"The mage suppresses the personal aura of her subject. The subject's Nimbus disappears and magical resonances around her are dampened, including the resonances of spells currently affecting her. She appears as a Sleeper to Mage Sight. She is harder to read in general, imposing a -2 penalty on Empathy checks, and supernatural attempts to discern her emotional or mental state. Magical attempts to see through the disguise provoke a Clash of Wills.",,,,,,,1,touch
Suppress Life,core,130,death,2,,,veiling,duration,,The mage can suppress the subject's life signs; the subject appears for all intents and purposes as though she is dead. All physical symptoms of death appear to set in and the soul appears absent from the body to magical senses.,"2: By spending a point of Mana, the mage may cast the spell reflexively in response to something that would reasonably cause the subject's death.",,,,,,1,touch
Touch of the Grave,core,130,death,2,,,ruling,duration,,"The mage can physically interact with ghosts and other things in Death-attuned Twilight. She can ""pull"" items from Twilight, making them visible and solid; these items have a Durability of 1 and dissipate into ephemera if broken, or after the spell's Duration ends. Items pulled from Twilight function as their material counterparts bestowing the same equipment bonuses.",,,,,,,1,touch
Without a Trace,core,130,death,2,,,veiling,duration,,"People constantly shed dead skin, hair, and other small evidences of themselves as they pass through the world. The mage conceals all physical evidence from casual observation. For the Duration of the spell, the subject leaves no fingerprints, footprints, traces of blood, or any other forensic type evidence of herself behind. Using Death Mage Sight to search for such signs provokes a Clash of Wills.",,,,,,,1,touch
Cold Snap,core,130,death,3,,,weaving,duration,,"The mage dissipates the heat in the spell's area of effect, causing frost and ice to form on the floor and exposed surfaces. For the Duration of the spell, all surfaces in the area are under the effects of the Ice Tilt (p. 321).","The cold of the area is so terrible and biting that in addition to the Ice Tilt, the area is under the effects of the Extreme Cold Tilt (p. 320).",,,,,,1,touch
Damage Ghost,core,130,death,3,,,fraying,potency,,The mage can cause pain to a ghost. She deals one bashing wound to the ghost's Corpus per Potency of the spell.,,,,,,,3,touch
Devouring the Slain,core,130,death,3,,,fraying,potency,Resolve,"The mage may pull the energy from his subject's suffering into himself. The mage chooses at the time of casting to either harvest Willpower or to scourge the subject's Pattern for Mana. The subject must have at least one Health box filled with either lethal or aggravated damage. For each level of Potency, the mage may take one point of Willpower (up to the subject's remaining Willpower points), or he may Scour the subject's Pattern for one point of Mana, dealing one lethal damage in the process, causing existing wounds to open and fester. Using this spell counts towards the limit of times per day a mage can gain Mana through Scouring.",The mage may affect a healthy subject with this spell instead of one who has recently taken damage.,The spell does not count toward the limit of times per day a mage can gain Mana through Scouring.,"The mage may affect a ghost with this spell, damaging its Corpus to gain either Willpower or Mana on a one for one basis. The mage must choose when casting the spell to take either Willpower or Mana, and cannot take a mix of the two from the ghost.",,,,3,touch
Ghost Gate,core,130,death,3,,,weaving,duration,,"The mage creates a two-dimensional plane that acts as a gateway, converting anything that moves through it into Twilight. While in Twilight, the person can interact with and see Death-attuned ephemeral objects and beings. Items can be carried through the gate, but doing so destroys their material forms, though they may be retrieved later with ""Touch of the Grave"".",The mage is able to transform her subject into the Twilight state without the use of the gate. All of her clothes and personal possessions turn into ephemera as she makes the transition.,,,,,,1,touch
Ghost Summons,core,131,death,3,,,perfecting,duration,Rank,"The mage sends out a call to the nearest ghost within her sensory range. Alternately, she can summon ghosts she knows personally. She may send a general call and the nearest ghost will answer, or she can specify the type of ghost, such as a child or a female. The ghost cannot travel farther than allowed by its Anchor. The spell does not work on ghosts above Rank 5.","The spell also creates the Open Condition on the area, even if the ghost's Anchor is not within the immediate vicinity, and the ghost Manifests as part of responding to the summons.","The mage may give the ghost a single, one-word command to follow. The ghost is not compelled to complete a task if it cannot finish the command before the Duration of the spell elapses.","In the vicinity of an open Iris to the Underworld (p. 243), the mage can summon ghosts from the Underworld vicinity of that Iris.","2: The mage may give the ghost a complex command to follow. The command must be a single task, but the mage can describe the task within a sentence or two.",,,1,sensory
Quicken Corpse,core,131,death,3,,,weaving,duration,,"The caster can animate a corpse, creating a loyal zombie servant. A zombie has limited mental capacity, and can understand simple one- or two-word commands and nothing more. It is a mindless, soulless construct immune to fear, pain, exhaustion, intimidation, or coercion, and follows the creator's orders with no regard to self. The corpse's physical capabilities are impaired, making them slow and clumsy compared to a living person. The constructs are not suited for combat (and have no Defense), but count as Retainers worth dots equal to the spell's Potency with a ""field"" relating to the mage's commands. Zombies have as much Health as the living creature their corpse came from had, but suffer damage as though they are under the effects of Death Mage Armor. They do not fall unconscious through damage, or bleed when filled with lethal damage, and are only destroyed when their last Health box is filled with aggravated damage.","The mage may create a zombie suitable for combat. It uses its dot-rating as a dice pool for attacks, and has a Defense 3, Initiative 1, and Speed 6.","2: The mage may spend a point of Mana to imbue the zombie with exceptional physical prowess. Zombie has Defense 5, Initiative 3, and Speed 8.",,,,,1,touch
Quicken Ghost,core,131,death,3,,,perfecting,potency,,"The mage bolsters a ghost, making low-Ranked ghosts more powerful and aware than they once were. Each level of Potency raises one of the ghost's three Attributes by one, not to exceed its Rank maximum. The mage can instead use the spell to heal a ghost's Corpus at a rate of one point per Potency of the spell.","2: The mage may spend one Mana to increase the ghost's Rank by 1, increasing its maximum Attribute levels and Essence pool, as well as awarding it one new Numen.",,,,,,3,touch
Rotting Flesh,core,132,death,3,,,perfecting,potency,,"The mage's touch rots away at her subject, causing his flesh and bones to wither and decay. Each level of Potency deals one point of bashing damage to the subject.","In addition, the subject suffers a -1 penalty to Social rolls for the Duration of the spell for each level of Potency of the spell (with a maximum penalty of -3) due to his horrific appearance.",,,,,,3,touch
Sever Soul,core,132,death,3,,,fraying,potency,Resolve,"The mage rips the soul from a Sleeper, casting it into Twilight. While without a soul, the subject suffers from the Soulless Condition (p. 318). When the spell's Duration ends, the Sleeper's soul returns to him, unless otherwise prevented from escape, such as the case of being trapped in a soul jar or inside another body (see ""Soul Jar"" p. 129). If this spell is cast on a subject who is already under the effects of the Soulless Condition, he is stepped up to the Enervated Condition (p. 315) - though the mage does not gain immediate access to his soul, since it is already missing.","The subject's soul leaves his body and enters Twilight, but he is instead under the effects of the Enervated Condition immediately, skipping the Soulless Condition.",The subject can be placed under the effects of the Thrall Condition (p. 318).,,,,,3,touch
Shadow Crafting,core,132,death,3,,,weaving,duration,,"The caster can shape and harden shadows into solid, three-dimensional forms. The object gains a Durability of 2. If it is a weapon it gains a weapon rating of 2; if it is armor it gains an armor rating of 2; otherwise the object gains a +2 equipment bonus. Objects made of shadow retain a shadowy appearance and cast no shadow of their own.",,,,,,,1,touch
Enervation,core,132,death,4,,,unraveling,potency,Stamina,"The mage causes her subject's muscles to stop working, breaking down connections between muscles, ligaments, and tendons. The spell imposes either the Leg Wrack Tilt or the Arm Wrack Tilt on the subject while the spell remains active.","The mage causes the subject's entire body to seize up. For the Duration of the spell, the subject suffers from the Immobilized Tilt.",,,,,,4,touch
Exorcism,core,132,death,4,,,unraveling,potency,Rank,"This spell rips a ghost's grip on the world away. This spell strips a number of Manifestation Conditions from the ghost (or its host) equal to the spell's Potency. The effect is Lasting, but the spirit may use its Influences and Manifestations to reestablish the Conditions as normal.",The target cannot attempt to recreate the destroyed Conditions on the same victim or location until the spell's Duration elapses.,,,,,mind 4: The spell's effects extend to Goetia or Spirits.|spirit 4: The spell's effects extend to Goetia or Spirits.,4,touch
Revenant,core,132,death,4,,,patterning,duration,Rank,"The mage may grant a ghost a Manifestation Condition (see p. 258). The mage may grant a number of Conditions equal to the spell's Potency, and must create any prerequisite Conditions as well, if they aren't already present. The entity immediately enters the Manifestation of the mage's choice, and may not leave it while the spell remains in effect. Mages often use this spell to allow ghosts to possess their own corpses, creating undead beings called revenants.",,,,,,mind 4: The spell's effects extend to Goetia or Spirits.|spirit 4: The spell's effects extend to Goetia or Spirits.,1,touch
Shadow Flesh,core,132,death,4,,,patterning,duration,Stamina,"The mage transforms the subject's body and all her personal possessions into a mass of moving and animated shadows. The mage may choose to make the subject a three-dimensional or a two-dimensional shadow. Three-dimensional shadows still have no apparent mass or substance, and cannot interact with physical objects. Two-dimensional shadows may move through cracks and crevices, though are still bound by the laws of gravity and must remain touching the floor, even if moving on walls. The subject retains all of her Attributes and Skills, but may not take physical actions other than to move, though she can still cast spells. She is immune to attacks or damage, but not Supernal magic, while in her shadowy form. She is effectively invisible in natural or supernatural darkness, though she can see in them herself.",,,,,,,1,touch
Withering,core,133,death,4,,,unraveling,potency,,"The mage causes the subject's body to wither and atrophy within moments, dealing one point of lethal damage per potency of the spell.","By spending one Mana, the mage can instead inflict aggravated damage on her subject.",,,,,,4,touch
Create Anchor,core,133,death,5,,,making,duration,Resolve,"The mage applies a universally-applicable version of the Anchor Condition to a subject, usable by any ghosts. If the mage also has a ghost as an additional subject, that ghost becomes anchored to the new Anchor as well as its own",,,,,,,1,touch
Create Avernian Gate,core,133,death,5,,,making,duration,,"The mage rips open the material world to the Underworld, creating an Iris between the material world and the upper layers of the Underworld within the area of effect. Opening the gate causes the area to gain a Death Resonance and the Gateway condition for the Duration of the spell",The mage can create an Iris leading to anywhere she has been before in the Underworld.,,,,,,1,sensory
Create Ghost,core,133,death,5,,,making,duration,,"The mage creates a ghost within Twilight. She can fashion the ghost as an echo of another person, either alive or dead, though the ghost is not the actual person. The ghost is created at Rank 1 and remains for the Duration of the spell as the mage's loyal servant, and she is able to direct it to take actions without the use of any additional spells","For one Mana, the ghost created is Rank 2",,,,,,1,sensory
Deny the Reaper,core,133,death,5,,,unmaking,potency,,"The mage is able to reverse the effects of entropy on her subject, even returning the dead back to life. The mage reverses the effects of decay, restoring the subject to its physical state of being from before up to one month per Potency of the spell. On a living subject, the spell can restore eyesight, the use of limbs, reversing irreparable damage, and restoring all bodily functions. On inanimate subjects the spell can restore time-ravaged photos, make old books pristine, or return old electronics to working order.","The mage may return the recently dead to life. No matter how long the subject has been dead, minutes or hours, the person's soul has already moved on, and the subject immediately suffers soul loss. When the spell's Duration ends, the subject dies again.",,,,,,5,touch
Empty Presence,core,133,death,5,,,unmaking,duration,Composure,"The mage destroys the subject's presence in the world, removing any evidence of her life or existence. Any attempts to see the  subject through mundane means of detection or observation fail completely. Not only is she invisible to the naked eye, but evidence of her life is scrubbed. All Doors she may have opened during social interactions with others, either on herself or on the other person, are removed. All her Conditions, and all Conditions applying to her (except for Paradox Conditions), resolve without granting Beats. While invisible, the subject cannot make violent, overt actions without breaking the spell's illusion. Physically damaging or breaking objects, or attacking someone, causes the spell to end immediately. Mages using Active Mage Sight make a Clash of Wills test against the subject, and the use of Focused Mage Sight reveals her to the mage using it. Conditions do not return when the spell ends, but Doors return to their previous states.",,,,,,,1,touch
Sever the Awakened Soul,core,133,death,5,,,unmaking,potency,Resolve,"The soul of a mage cannot be removed with Fraying alone; Awakened Gnosis holds it tight, requiring mastery to pry loose. This spell Unmakes the protective metaphysical layers of a mage's soul, ripping it free and placing it into a container. That container can either be a specially prepared vessel such as one created with ""Soul Jar,"" or the caster can take the soul into her own body. While without a soul, the subject suffers from the Soulless Condition. If this spell is cast on a subject who is already under the effects of the Soulless Condition, he is stepped up to the Enervated Condition - though the mage does not gain immediate access to his soul, since it is already missing. If the mage chooses not to capture her subject's soul immediately, it goes into Twilight where it waits to return to its owner",The subject falls immediately under the effects of the Enervated Condition.,The subject can be placed under the Thrall Condition.,,,,,5,touch
Interconnections,core,134,fate,1,,,unveiling,potency,Composure,"This spell reveals the marks of Fate on people, places, and things the mage observes (up to one subject per turn). In addition to allowing the mage to detect any sympathetic connections between the subjects, the mage can also identify those who have violated a magical oath, and the presence of spells with conditional Durations (see p. 192).","The mage can also detect possession, supernatural mind control, and alterations of destiny.",2: The mage can also discern specific information about a subject's destiny - such as the Doom of a subject with the Destiny Merit or the parameters of a conditional Duration.,,,,,1,sensory
Oaths Fulfilled,core,135,fate,1,,,knowing,duration,,"In folktales, witches always seem to know when their subjects fulfill (or violate) the terms of an agreement. This spell notifies the mage when a specified fate befalls its subject - whether the subject is the victim or the actor. This triggering event must be something the mage could perceive if he were present (e.g. the subject suffers an injury, goes to the restroom, breaks her word, speaks the mage's name, etc.).",The mage receives a brief vision of the subject when the oath is fulfilled.,"The mage can track the subject until the spell's Duration elapses. This doesn't provide knowledge of the subject's location, only of a path to the subject that is sure and swift.",The trigger event may be something the mage could only perceive using Mage Sight.,,,,1,touch
Quantum Flux,core,135,fate,1,,,compelling,duration,,"The mage reads probability and compensates for deleterious factors, attracting small turns of good fortune to negate unfortunate obstacles that stand in her way. This negates penalties to any of the subject's actions equal to Potency for a number of actions during the Duration equal to Potency. Additionally, the subject can spend a turn during the spell's Duration aiming an action. The subject loses any Defense and must remain still while aiming. A turn spent aiming grants a bonus to the next action equal to Potency. These effects can only be applied to mundane instant actions; extended actions and spellcasting rolls do not benefit.",,,,,,,1,touch
Reading the Outmost Eddies,core,135,fate,1,,,compelling,potency,Composure,"This spell bestows a small blessing or curse that attracts good or bad fortune to its subject. As long as the spell remains active the subject experiences an event within the next 24 hours, such as finding $20 or dropping his wallet in a puddle. The mage can exert limited control over the nature of the fortune (or misfortune), but ultimately fate decides the detail. Hostile applications of this spell are Withstood by Composure.",The twist of fate occurs within one hour.,,,,,,1,touch
Serendipity,core,135,fate,1,,,knowing,potency,,"This spell grants the mage a momentary glimpse of all the potential roads her destiny may follow to her desired destination, which allows the mage to identify the next step she must take to accomplish a stated objective. Upon casting, the mage receives a clear omen that suggests a course of action that will lead her closer to her goal. This seldom guarantees immediate success, especially if the task before her is complicated, but can provide an important breakthrough.","When the mage's player makes a roll to achieve her stated goal she may substitute any Skill of the same type (Mental, Physical, or Social) as the one that the task calls for. Through some twist of fate Streetwise turns out to be just as useful in a specific social situation as Empathy, for example. This affects a number of rolls no greater than the Potency of the spell.","2: As above, but the mage's player may substitute any Skill. The mage's street sense (Streetwise) so impresses a punk-at-heart librarian that she helpfully answers all his questions about Greek history (Academics), for example.",,,,,1,touch
Exceptional Luck,core,135,fate,2,,,ruling,potency,Composure,"The mage blesses the subject's endeavors or curses them with misfortune. Whether good or bad, the subject's luck is truly exceptional. This spell bestows a boon or inflicts a hex on the subject (see p. 134). The subject may Withstand a hex with Composure.",2: The boon or hex can affect spellcasting rolls.,2: Spend a point of Mana. The mage can cast this spell as a reflexive action.,,,,,2,touch
Fabricate Fortune,core,136,fate,2,,,veiling,duration,,Sometimes a mage wishes to hide a child of destiny from those who would abuse her gift. Other times he wishes to convince observers that a subject has a fate that she does not. This spells conceals or falsifies fates and Destiny. It can be used to trick conditional Durations or spells with conditional triggers into ignoring an event that mets the defined condition or into acting as through the stipulated event has come to pass. It can create false omens regarding the sibject when she is scrutinized by Fate magic. All such deceptions provike a Clash of Wills against those attempting to overcome its protections.,,,,,,,1,touch
Camera Obscura,signs-of-sorcery,28,prime,3,,,weaving,duration,,"Mysteries tend to arise in inconvenient or even dangerous places. This spell enchants a camera, video recorder, or similar device, allowing it to record Supernal energies.
This allows a mage to study the recordings made while the spell is active with Active or Focused Mage Sight as though she were present at the site of the recording.
The magic fades from the recordings when the spell’s Duration expires, and only one recording (a single photo, a continuous video shot, etc.) per Potency can retain the Supernal information, and only the original image retains the information.

The spell has two drawbacks compared to studying a Mystery in person. First, the spell’s Potency caps the mage’s base dice pool for Revelation or Scrutiny. 
Second, instead of the observing mage’s Nimbus contaminating the Mystery itself, rolls in excess of the mage’s Gnosis + Arcanum reduce the spell’s Potency by half her Gnosis. 
If the Potency is reduced to 0, the studied recording becomes useless. This Potency reduction only applies to the specific recording studied; it does not affect others not yet reviewed.","2: For 1 Mana, the magic is Lasting for recordings produced by the subject. 
The camera’s ability to record Supernal information ends with the Duration, but the recordings retain their Supernal information until they’re degraded.",,,,,,1,touch
Light Under a Bushel,signs-of-sorcery,28,prime,2,,,shielding,potency,,"Contaminating a Mystery with one’s own Nimbus is an ever-present danger when Scrutinizing. 
By means of this spell, the mage dampens the subject’s Nimbus and gives her more time to study the Mystery. 
Add this spell’s Potency to the number of rolls allowed before the subject’s Nimbus leaks into the Mystery (Mage, p. 93.)
If this spell’s Duration expires while the subject is still Scrutinizing, immediately apply all accumulated penalties to the subject’s Scrutiny rolls.",,,,,,,2,touch
Path to Jerusalem,signs-of-sorcery,28,prime,2,,,veiling,potency,Opacity,"This spell, named for the labyrinth at the Cathedral of Chartres, has been the choice of mages for distinct reasons, including attempting to conceal their involvement in illicit activities, frame their rivals, or simply stymie other occult investigators. Add the spell's Potency to the Opacity of the subject Mystery.","Every Reach spent allows the mage to plant one false piece of Surface or Deep Information in the Mystery, either concealing a true piece of information or adding an entirely new falsehood. This can include placing another mage's Signature Nimbus on the Mystery, if the caster has studied it. Recognizing the falsehood requires a Clash of Wills while examining the Mystery with Focused Mage Sight.",,,,,,2,touch
Shared Sight,signs-of-sorcery,28,prime,1,,,unveiling,duration,Resolve,"Few mages have even a rudimentary understanding of all the Supernal Mysteries, but mages often find it useful to pool their investigative efforts.
This spell grants the subject, who must be a mage or under the influence of the Prime •••• spell Apocalypse (Mage, p.169),Prime mage Sight.
Mages still perceive granted Arcana under their own Path, not the Path of the caster. This spell costs 1 Mana per Arcanum per subject, unless the additional Arcanum is one of the caster’s Ruling Arcana.",,,,,,"any 1:Instead of or as well as Prime Sight, the spell may grant Mage Sight in the included Arcanum.
Including multiple Arcana allows the spell to grant Mage Sight in a number of Arcana equal to the spell’s Potency, so long as any Mana cost is paid.",1,touch
Supernal Translation,signs-of-sorcery,28,mind,3,prime,3,weaving,duration,,"This spell allows the subject to comprehend High Speech, translating any they hear or read as though they had Peripheral Mage Sight.
It does not, however, convey the ability to speak or write High Speech back, or offer any protection from Quiescence or Dissonance if they encounter High Speech used as a spellcasting Yantra, spoken by a Supernal entity, or as a spontaneous Mystery.
For this reason, the Orders frown on its use on Sleepers, but for a mage with Sleepwalker or inhuman companions, the ability to pass secure messages can come in very handy.",,,,,,,1,touch
Ritual Focus,signs-of-sorcery,55,mind,2,,,ruling,duration,Composure,"A variant on Telepathy, this spell links the minds of the mage and his subjects, allowing him to guide them as they work in unison on a particular spell (see “Teamwork,” Mage p. 119).
The mage must cast the spell with enough Scale to affect every other Awakened participant in the ritual. 
Secondary actors in the ritual add the spell’s Potency to their dice pool and do not suffer a dice penalty if the ritual is unplanned.",,,,,,,1,touch
Hone the Perfected Form,signs-of-sorcery,61,matter,3,,,perfecting,duration,,"The mage takes an ordinary piece of metal — iron, gold, silver, mercury, copper, tin, or lead — and transmutes it into its Perfected metal. The spell affects a single continuous piece of metal that fits within the spell’s Scale factor.","2: The spell may Perfect another substance, such as glass or gemstones (see p. 63.) If the spell also includes Forces •••, it may Perfect fire. Other, stranger substances may be Perfected with additional Arcana at the Storyteller’s discretion.",,,,,,1,touch
Forge Thaumium,signs-of-sorcery,62,matter,4,,,patterning,duration,,"This spell combines Perfected metals into a single metal resistant to magic. Called """"thaumium"""", this material is forged from an alloy of Orichalcum, lunargent, and hermium. The object created by this spell is Durability 1 and can hold one point of Mana, which it spends to shield against magic. Potency may be allocated, one for one, to increasing Durability or Mana capacity. For purposes of the spell's scale factor, the alloy has the same Size as the three component metals combined. Any spell cast at the wielder provokes a Clash of Wills, unless the wielder chooses to allow the spell. CoW dice pool = Creator's Gnosis + Matter at the time of casting. The object will expend 1 Mana whenever a CoW occurs.","2: The spell's effect is Lasting but relies on the constituent metals remaining Perfected. If any of them revert to mundane form, the allow will collapse into its separate ingredients.",,,,,"death 2: Thaumium can protect against other kinds of magic, provided they fall uner the Arcanum's purview. For example, Death can protect against ghostly numina and Manifestations",1,touch
Forge Sophis,signs-of-sorcery,62,matter,4,,,patterning,duration,,"This spell combines Perfected metals into a single metal which scavanges Mana. Called """"sophis"""", this material is forged from an alloy of apeiron, brontium and hermium. The object created is Durability 1 and can hold 1 point of Mana. Potency may be allocated, one for one, to increasing Durability or Mana capacity. The first time the holder spends Mana in a scene, the item absorbs one point of spent Mana. It scavanges the spent Mana before it dissipates. Mages can collect the mana using """"Channel Mana""""","2: The spell's effect is Lasting but relies on the constituent metals remaining Perfected. If any of them revert to mundane form, the allow will collapse into its separate ingredients.",,,,,,1,touch
Forge Dumanium,signs-of-sorcery,62,matter,4,,,patterning,duration,,"This spell combines Perfected metals into a single metal which scavanges Mana. Called """"dumanium"""", this material is forged from an alloy of kassiterum, siderite and hermium. The object created is Durability 1 and can hold 1 point of Mana. Potency may be allocated, one for one, to increasing Durability, Mana capacity or equipment bonus. If the object is a weapon, the wielder can use the stored Mana to make the weapon's dmage aggravated for a single attack. This is a reflective action requiring one Mana from the weapon. Item must be Size 3 or more to act as effective armor. If the object is armor, Potency can beallocated for 1/1 armor, instead of equipment bonus.  Mages can refuel or access the mana using """"Channel Mana""""","2: The spell's effect is Lasting but relies on the constituent metals remaining Perfected. If any of them revert to mundane form, the allow will collapse into its separate ingredients.",,,,,,1,touch
Death Touched Item,signs-of-sorcery,64,death,3,,,perfecting,duration,,"This spell turns an ordinary object into one capable of affecting objects of Death-attuned ephemera and shadow. After casting, the object is simultaneously and item of the material owrld, of Death-attuned Twilight and of shadows cast from the absence of light. It can interact with anything in Death-attuned Twilight or even with items crafted of shadows via the Death Arcanum. It deals damage to a ghost's Coirpus or to a shadow item's Structure or prevent harm to the wearer of such things. If the item is brough into Twilight, it does not lose its material form while under the effects of this spell.",,,,,,,1,touch
The Right Tool,signs-of-sorcery,64,fate,3,,,perfecting,duration,,"Those who understand the intricacies of Fate know that much of fulfilling a destiny involves being in the right place at the right time. Another well-known factor is to have available the right tool for the job at hand. With this spell, the mage takes an ordinary object and Perfects it into the right object, making it a lever of destiny. The object’s form and function do not need to be related to its Fate-granted purpose; a gum wrapper may become the key necessary for opening a locked door in front of the mage, a pipe may become the weapon that brings the downfall of a hated enemy, and a coin may become armor that stops a fatal bullet that would end the caster’s life. What constitutes the right object is completely dependent on the situation. The mage casts the spell on an item, and for the Duration of the spell’s effect if the item could be conceivably used in a certain situation, it can be used as the right item. When used for its new purpose, the item’s equipment bonus is increased by Potency depending on the situation, up to a maximum of five dice. Items that could not normally be used for the intended purpose are assumed to start at a “bonus” of 0 before the spell’s effect is added. In certain cases, determined by the Storyteller, the item may become an unexpected life-saving tool or quick escape.",,,,,,,1,touch
